[12-04-2023][00.00.18] New Synch Log File Created!
[12-04-2023][06.00.18] Log file reloaded ( Server Restart )
[12-04-2023][12.00.17] Log file reloaded ( Server Restart )
[12:27:38] Player (Goovis Andachair, 76561199407766611)(<4483.781250, 6.057562, 9999.577148>) requested data for lock!
[12:27:59] Player (Goovis Andachair, 76561199407766611)(<6800.662598, 17.107737, 11221.558594>) requested data for lock!
[12:27:59] Player (Goovis Andachair, 76561199407766611)(<6832.793945, 17.066170, 11207.883789>) requested data for lock!
[12:28:00] Player (Goovis Andachair, 76561199407766611)(<6795.788086, 16.153437, 11241.387695>) requested data for lock!
[12:28:00] Player (Goovis Andachair, 76561199407766611)(<6825.809570, 17.074102, 11210.505859>) requested data for lock!
[12:28:01] Player (Goovis Andachair, 76561199407766611)(<6833.284180, 20.168362, 11241.022461>) requested data for lock!
[12:28:01] Player (Goovis Andachair, 76561199407766611)(<6826.356934, 17.069685, 11201.375977>) requested data for lock!
[12:35:12] Player (Goovis Andachair, 76561199407766611)(<6800.662598, 17.107737, 11221.558594>) requested data for lock!
[12:35:12] Player (Goovis Andachair, 76561199407766611)(<6832.793945, 17.066170, 11207.883789>) requested data for lock!
[12:35:12] Player (Goovis Andachair, 76561199407766611)(<6795.788086, 16.153437, 11241.387695>) requested data for lock!
[12:35:12] Player (Goovis Andachair, 76561199407766611)(<6825.809570, 17.074102, 11210.505859>) requested data for lock!
[12:35:12] Player (Goovis Andachair, 76561199407766611)(<6833.284180, 20.168362, 11241.022461>) requested data for lock!
[12:35:12] Player (Goovis Andachair, 76561199407766611)(<6826.356934, 17.069685, 11201.375977>) requested data for lock!
[13:07:44] Player (Goovis Andachair, 76561198369601190)(<6800.662598, 17.107737, 11221.558594>) requested data for lock!
[13:07:44] Player (Goovis Andachair, 76561198369601190)(<6832.793945, 17.066170, 11207.883789>) requested data for lock!
[13:07:44] Player (Goovis Andachair, 76561198369601190)(<6795.788086, 16.153437, 11241.387695>) requested data for lock!
[13:07:44] Player (Goovis Andachair, 76561198369601190)(<6825.809570, 17.074102, 11210.505859>) requested data for lock!
[13:07:44] Player (Goovis Andachair, 76561198369601190)(<6833.284180, 20.168362, 11241.022461>) requested data for lock!
[13:07:44] Player (Goovis Andachair, 76561198369601190)(<6826.356934, 17.069685, 11201.375977>) requested data for lock!
[13:11:13] Player (Goovis Andachair, 76561198369601190)(<6734.808105, 35.299297, 11375.157227>) requested data for lock!
[13:40:44] Player (Goovis Andachair, 76561198369601190)(<6800.662598, 17.107737, 11221.558594>) requested data for lock!
[13:40:44] Player (Goovis Andachair, 76561198369601190)(<6832.793945, 17.066170, 11207.883789>) requested data for lock!
[13:40:44] Player (Goovis Andachair, 76561198369601190)(<6795.788086, 16.153437, 11241.387695>) requested data for lock!
[13:40:45] Player (Goovis Andachair, 76561198369601190)(<6825.809570, 17.074102, 11210.505859>) requested data for lock!
[13:40:45] Player (Goovis Andachair, 76561198369601190)(<6833.284180, 20.168362, 11241.022461>) requested data for lock!
[13:40:45] Player (Goovis Andachair, 76561198369601190)(<6826.356934, 17.069685, 11201.375977>) requested data for lock!
