[COT 2023-12-17 14:57:31] 76561199407766611: Set GodMode To true [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2023-12-17 14:57:32] 76561199407766611: Set UnlimitedAmmo To true [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2023-12-17 14:57:32] 76561199407766611: Set UnlimitedStamina To true [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2023-12-17 14:57:42] 76561199407766611: Teleported to position <6869.208008, 15.245127, 11329.211914>
[COT 2023-12-17 14:58:41] 76561199407766611: Entered the Free Camera
[COT 2023-12-17 14:58:53] 76561199407766611: Left the Free Camera
[COT 2023-12-17 14:59:4s] 76561199407766611: Spawned Entity Flag Pole Kit (TerritoryFlagKit<3d975350>, 100, 200, 0) at <6739.446289, 44.283039, 11380.729492>
[COT 2023-12-17 14:59:10] 76561199407766611: Spawned Entity Flag (Flag_LivoniaArmy<38774f60>, 100, 100, 0) at <6739.294922, 44.504166, 11380.708008>
[COT 2023-12-17 14:59:44] 76561199407766611: Spawned Entity Sledgehammer (SledgeHammer<3d975350>, 100, 300, 0) at <6740.859863, 44.476555, 11381.437500>
[COT 2023-12-17 14:59:51] 76561199407766611: Spawned Entity Sledgehammer (SledgeHammer<3d9706d0>, 100, 300, 0) at <6737.488281, 44.324448, 11380.591797>
[COT 2023-12-17 14:59:56] 76561199407766611: Spawned Entity Shovel (Shovel<3e6eb5a0>, 100, 200, 0) at <6737.488281, 44.324448, 11380.591797>
[COT 2023-12-17 15:0m:2s] 76561199407766611: Spawned Entity Hatchet (Hatchet<3bdff010>, 100, 150, 0) at <6737.488281, 44.324448, 11380.591797>
[COT 2023-12-17 15:0m:9s] 76561199407766611: Spawned Entity Wooden Log (WoodenLog<34ca1a00>, 1, 500, 0) at <6737.488281, 44.324448, 11380.591797>
[COT 2023-12-17 15:0m:9s] 76561199407766611: Spawned Entity Wooden Log (WoodenLog<34caff80>, 1, 500, 0) at <6737.488281, 44.324448, 11380.591797>
[COT 2023-12-17 15:0m:9s] 76561199407766611: Spawned Entity Wooden Log (WoodenLog<38d54940>, 1, 500, 0) at <6737.488281, 44.324448, 11380.591797>
[COT 2023-12-17 15:0m:9s] 76561199407766611: Spawned Entity Wooden Log (WoodenLog<4566bae0>, 1, 500, 0) at <6737.488281, 44.324448, 11380.591797>
[COT 2023-12-17 15:0m:39] 76561199407766611: Spawned Entity Wooden Log (WoodenLog<45659270>, 1, 500, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:40] 76561199407766611: Spawned Entity Wooden Log (WoodenLog<4566bae0>, 1, 500, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:40] 76561199407766611: Spawned Entity Wooden Log (WoodenLog<38d54940>, 1, 500, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:48] 76561199407766611: Spawned Entity Large Stone (Stone<40d1c690>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:48] 76561199407766611: Spawned Entity Large Stone (Stone<40d24c70>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:48] 76561199407766611: Spawned Entity Large Stone (Stone<3077c9d0>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:48] 76561199407766611: Spawned Entity Large Stone (Stone<42c87610>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:48] 76561199407766611: Spawned Entity Large Stone (Stone<4423b4a0>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:49] 76561199407766611: Spawned Entity Large Stone (Stone<4546a650>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:49] 76561199407766611: Spawned Entity Large Stone (Stone<3c02f700>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:49] 76561199407766611: Spawned Entity Large Stone (Stone<42d679c0>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:50] 76561199407766611: Spawned Entity Large Stone (Stone<423d3d30>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:50] 76561199407766611: Spawned Entity Large Stone (Stone<42718300>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:50] 76561199407766611: Spawned Entity Large Stone (Stone<42909980>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:50] 76561199407766611: Spawned Entity Large Stone (Stone<385c3ec0>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:51] 76561199407766611: Spawned Entity Large Stone (Stone<43c5ffa0>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:51] 76561199407766611: Spawned Entity Large Stone (Stone<145eb960>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:51] 76561199407766611: Spawned Entity Large Stone (Stone<42b5c130>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:51] 76561199407766611: Spawned Entity Large Stone (Stone<3e43f0c0>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:51] 76561199407766611: Spawned Entity Large Stone (Stone<44414480>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:52] 76561199407766611: Spawned Entity Large Stone (Stone<390ed350>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:52] 76561199407766611: Spawned Entity Large Stone (Stone<34ca1a00>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:52] 76561199407766611: Spawned Entity Large Stone (Stone<38aa7e70>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
